-101, -119, 142 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
-944, -1024, -1041, -943 
*************************
0, 0, 0, 0 
0, 0, 0, 0 
0, 0,, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -3, -67 
-3, -38, -49, -67 
-34, -38, -49, -67 
-34, -38, -49, -67 
-34, -38, -49, -67 
-34, -38, -49, -67 
-34, -38, -49, -67 
-34, -38, -49, -64, -125, -153, -187 
-64, -125, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -170, -153, -187 
-64, -10, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 
-146, -240, -223, -256 8, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 
-291, -398, -380, -409 8, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 
-381, -488, -470, -485 0, -635, -653 
-546, -570, -635, -653 
-546, -570, -635, -653 
-546, -570, -635, -653 
-546, -570, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 
-546, -666, -635, -653 66, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -763 
-653, -766, -739, -76306, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -906, -1023 
-818, -939, -91 
-997, -1124, -1085, -1201 
-997, -1124, -1085, -1201 
-997, -1124, -1085, -1201 
-997, -1124, -1085, -1201 
-997, -1124, -1085, -1201 
-997, -1124, -1085, -1201 
-997, -1124, -1085, -1201 
-997, -1124, -1085, -1201 
-1100, -1124, -1186, -1201 
-1100, -1124, -1186, -1201 
